	SRR2672238	SRR2672239	SRR2672242	SRR2672244	SRR2672255	SRR2672260	SRR2672261	SRR2672262	SRR2672263	SRR2672243	SRR2672257	SRR2672259	SRR2672235	SRR2672237	SRR2672240	SRR2672264	SRR2672236	SRR2672241	SRR2672258	SRR2672256
g__Sphingomonas	5611.30082890798	1438.56206339837	174.766701519566	5.0682695913961	22.0394947746361	0	0	0	11.4616858764522	22.3408771028351	718.02079423139	21.9507644353715	33.7671905697446	7.74551341135647	0	0	548.006679640474	1284.29211946196	212.265735205212	11.6318124253928
g__Spirosoma	0	0	0	0	0	0	0	0	0	0	0	13.1704586612229	0	0	0	0	0	0	83.2941492577417	0
g__Staphylococcus	3851.18770026928	26625.1255809954	207.912110428449	5.0682695913961	64.1148938898506	55.3705768137556	147.201473524494	0	114.616858764522	0	205.148798351826	296.335319877514	42.9764243614931	83.2642691720821	8.74870227582908	90.5202652243772	2675.30819981963	3871.87476251994	21.4952643245785	111.956194594406
g__Stenotrophomonas	0	11.7274081255302	0	0	16.0287234724627	7.38274357516741	0	0	4.58467435058087	0	0	13.1704586612229	0	0	0	0	60.4101851572175	3.79968082681054	0	0
g__Streptococcus	27710.4989995938	45240.4314122536	2015.84350545845	89.5394294479979	186.333910367378	889.620600807673	143.427076767456	79.1906713389163	103.15517288807	46.1711460125257	2568.72484744786	1336.80155411412	110.510805500982	73.5823774078864	253.712365999043	11.3150331530471	2580.37790885829	3229.72870278896	40.3036206085846	42.165320042049
g__Sutterella	0	187.638530008483	5719.08964627822	34153.3793532212	38533.0512278002	185694.457774398	7.54879351407661	2.82823826210415	63023.22596026	7828.2433368334	6.54730207505827	22016.6167286776	40210.5844793713	88887.5119087268	2.91623409194302	0	207513.301028268	193544.342275249	45019.1442197891	38041.8425372472
g__Terracoccus	0	258.002978761664	0	0	0	0	0	0	0	0	2.18243402501942	0	0	0	0	0	0	0	18.8083562840061	0
g__Trabulsiella	0	809.191160661582	0	0	0	0	22.6463805422298	0	0	0	58.9257186755244	0	0	0	0	0	4.31501322551553	0	0	0
g__Turicibacter	0	0	0	0	4.00718086811566	0	0	220.602584444124	0	58.0862804673711	0	1562.89442779845	95.1620825147347	0	0	0	0	0	0	0
g__Variovorax	3219.35221819385	1172.74081255302	15.0660949585833	0	8.01436173623132	7.38274357516741	0	0	0	0	1617.18361253939	32.9261466530571	0	0	0	0	0	0	21.4952643245785	0
g__Veillonella	0	11657.043676777	156.687387569266	1486.69241347619	22.0394947746361	284.235627643946	3691.36002838346	11.3129530484166	75.6471267845845	150.428572492423	87.2973610007769	153.6553510476	3.06974459724951	65.83686399653	472.42992289477	0	289.105886109541	235.580211262254	91.3548733794586	1590.65034917247
g__Williamsia	0	7.81827208368677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.06072412171693	0
