	SRR2672238	SRR2672239	SRR2672242	SRR2672244	SRR2672255	SRR2672260	SRR2672261	SRR2672262	SRR2672263	SRR2672243	SRR2672257	SRR2672259	SRR2672235	SRR2672237	SRR2672240	SRR2672264	SRR2672236	SRR2672241	SRR2672258	SRR2672256
g__Coprococcus	43581.6045612504	0	313.374775138533	1415.73663919664	68.1220747579662	44.2964614510046	3110.10292779956	916.349196921745	1217.23104007922	31.277227943969	39.2838124503496	2649.45726734934	322.323182711198	125.864592934543	6115.34289080453	169.725497295707	4.31501322551553	75.9936165362108	1340.76711224558	2560.4527101396
g__Corynebacterium	29831.6609751327	8928.46671957032	222.978205387032	0	210.376995576072	14.7654871503348	86.811125411881	22.6259060968332	66.4777780834228	2.97878361371133	183.324458101632	318.286084312885	131.999017681728	65.83686399653	8.74870227582908	33.9450994591414	1415.3243379691	2181.01679458925	131.658493988043	8.72385931904463
g__Cryocola	0	0	0	0	8.01436173623132	0	0	0	0	0	0	0	0	0	0	0	0	41.7964890949161	0	0
g__Curvibacter	0	0	0	0	0	0	0	0	0	0	17.4594722001554	0	3.06974459724951	0	0	0	0	0	0	17.4477186380893
g__Deinococcus	0	570.733862109136	0	0	0	0	0	0	0	7.44695903427835	0	0	0	0	0	0	0	0	0	0
g__Delftia	21482.4063905646	6696.35003967772	4800.05785380464	0	120.21542604347	254.704653343276	37.7439675703831	0	472.22145810983	7.44695903427835	694.014019956177	212.922415023103	6.13948919449901	0	0	0	880.26269800517	2127.82126301391	405.723114126419	17.4477186380893
g__Desulfovibrio	15.0437019541769	0	0	8.44711598566017	0	0	0	0	22856.8939748209	0	0	89.9981341850229	374.50884086444	0	0	0	4090.63253778873	3111.93859715783	0	0
g__Devosia	1955.68125404299	805.282024619738	99.4362267266498	0	18.0323139065205	14.7654871503348	0	0	59.6007665575514	0	24.0067742752136	24.1458408789086	0	0	0	0	30.2050925786087	0	13.4345402028615	0
g__Dialister	0	207.1842102177	0	67.5769278852814	38.0682182470988	0	0	16.9694295726249	1611.51303422918	0	37.1013784253302	6.58522933061143	0	0	285.790941010417	0	73.3552248337643	0	0	793.87119803306
g__Dietzia	1038.01543483821	375.277060016966	111.489102693516	0	0	0	0	0	0	0	0	0	0	0	0	0	77.6702380592798	125.389467284748	0	0
g__Dorea	14005.6865193387	3451.76712494773	268.176490262783	1949.59436949037	22.0394947746361	13827.8787162886	1672.05776336797	503.426410654539	96.2781613621984	516.818956978917	1514.60921336348	173.411039039435	174.975442043222	507.331128443849	953.60854806537	5702.77670913577	22912.7202274875	23178.0530435442	2353.73144354134	0
g__Dyadobacter	3715.79438268169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1987233072422	0	0
g__Dysgonomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5096.03061933385	3944.06869822934	0	0
g__Eggerthella	0	1078.92154754878	3.01321899171666	113.191354207847	204.366224273899	0	222.689408665261	477.972266295602	9.16934870116176	7.44695903427835	56.743284650505	0	0	58.0913505851735	1000.26829353646	350.766027744462	5423.97162447303	4141.65210122349	892.053469470008	39.2573669357008
g__Eikenella	0	2564.39324344926	0	0	0	0	0	22.6259060968332	0	0	0	65.8522933061143	0	17.4274051755521	195.387684160183	0	0	0	0	456.548637696669
g__Elizabethkingia	42543.5891264122	8533.64397934411	1925.44693570695	1.68942319713203	182.326729499263	786.262190755328	124.555092982264	0	398.866668500537	14.8939180685567	920.987158558196	300.725472764589	3.06974459724951	0	0	0	1812.30555471653	2405.19796337107	513.199435749311	0
g__Enhydrobacter	0	0	0	0	0	0	0	0	0	0	19.6419062251748	2.19507644353715	0	0	0	0	0	87.3926590166425	21.4952643245785	0
g__Enterobacter	45.1311058625306	15327.7224200679	0	856.537560945941	0	0	0	0	0	28.2984443302577	0	129.509510168691	0	0	0	33.9450994591414	0	7.59936165362108	5.37381608114462	0
