	SRR2672245	SRR2672246	SRR2672250	SRR2672254	SRR2672253	SRR2672247	SRR2672251	SRR2672249	SRR2672252	SRR2672248
g__Acinetobacter	10.51213363	24.46850903	48.12953431	0	24.69074838	0	9.350615348	54.35930244	107.5457268	27.58696792
g__Cloacibacterium	0	0	0	0	0	94.98786664	7.792179457	0	0	193.1087754
g__Aerococcus	0	0	0	0	0	0	0	35.54262083	0	248.2827112
g__Sphingomonas	1.752022272	0	0	5.910607965	0	0	46.75307674	96.17415048	0	110.3478717
g__Agrobacterium	0	13.98200516	25.33133385	1.970202655	57.61174621	0	68.57117922	0	67.71397616	0
g__Facklamia	0	0	0	0	0	0	0	0	0	220.6957433
g__Clostridium	10.51213363	3.49550129	154.5211365	5.910607965	0	17.92223899	0	4.181484803	3.983175069	0
g__Trabulsiella	0	3.49550129	0	0	0	0	160.5188968	0	3.983175069	27.58696792
g__Lactobacillus	0	13.98200516	0	0	0	0	48.31151263	41.81484803	27.88222548	55.17393583
g__Actinomyces	1.752022272	17.47750645	0	0	0	0	28.05184605	29.27039362	107.5457268	0
g__Nitrospira	0	27.96401032	5.066266769	0	0	0	0	0	0	137.9348396
g__Comamonas	14.01617817	0	0	0	0	10.75334339	3.116871783	0	0	137.9348396
g__Oxalobacter	0	0	10.13253354	0	0	0	0	96.17415048	35.84857562	0
g__Frondihabitans	0	17.47750645	0	0	8.230249459	0	0	0	0	110.3478717
g__Enhydrobacter	3.504044543	0	7.599400154	1.970202655	0	50.18226917	1.558435891	31.36113603	19.91587534	0
g__Devosia	0	6.99100258	0	0	0	10.75334339	9.350615348	20.90742402	51.78127589	0
g__Epulopiscium	0	0	30.39760062	5.910607965	8.230249459	0	0	0	51.78127589	0
g__Gemella	8.760111359	0	0	0	0	75.27340376	7.792179457	0	0	0
g__Variovorax	1.752022272	13.98200516	0	0	0	53.76671697	0	0	7.966350137	0
g__Methylobacterium	0	0	0	0	8.230249459	0	17.14279481	50.17781764	0	0
g__Microbacterium	29.78437862	0	0	0	0	35.84447798	0	2.090742402	0	0
g__Stenotrophomonas	0	10.48650387	0	0	8.230249459	37.63670188	0	4.181484803	0	0
g__Brevundimonas	0	0	2.533133385	0	0	0	0	2.090742402	0	55.17393583
g__Gluconacetobacter	1.752022272	27.96401032	0	0	0	23.29891069	0	0	0	0
g__Anaerococcus	0	20.97300774	0	0	0	14.33779119	6.233743566	0	0	0
g__Actinotalea	0	0	0	0	0	0	0	35.54262083	0	0
g__Leptotrichia	0	0	0	19.70202655	0	0	6.233743566	0	7.966350137	0
g__Phycicoccus	1.752022272	13.98200516	0	0	0	0	10.90905124	0	0	0
